© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
PIP5K1C	 	kinase	Akt,AKT1,EGFR,EGR1,ERBB3,ERK,ERK1/2,EZH2,FOXO1,FOXO3,HBEGF,HDAC6,HIF1A,IRF3,Jnk,MAP2K1/2,Mapk,MAPK1,MET,MMP12,MMP9,MTOR,NR4A1,NRF1,P38 MAPK,PARP1,PDGFRA,PGR,PHB2,PIP5K1C,PRKAA,RB1,RELA,RHOA,RPS6KB1,SGK1,SHC1,SMAD3,SREBF2,STAT1,TAB1,WNK1,YBX1	3	Activated	2.105	4.27E-14	2.95E-02	ACSL1,ACTB,APOC3,APOE,ARHGDIB,ARRB1,B2M,BABAM2,C4A/C4B,CARS1,CASP1,CD14,CD36,CD44,CD55,CDKN2C,CEBPA,CHI3L1,CLEC11A,CPT2,CTSS,DAB2,DDX58,DDX60,DHCR24,DOCK8,DPYSL2,DYNLL1,EFEMP1,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FDPS,FHL1,FLI1,FOSL1,GBP1,GBP2,GBP4,GLUL,GOLGA2,GSTP1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB2,HSPB1,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KRT10,LAP3,MAP4K4,MBD2,MIF,MKI67,MMP2,MMP9,MVP,MX1,MX2,NCOA7,NRP1,NUCKS1,NUDCD2,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDLIM1,PEA15,PFDN1,PFKP,PHGDH,PLAU,PLG,PML,POSTN,PPIA,PSMB3,PSMB7,PSMD3,PSME2,PSME3,PTPN1,RAB4B,RBL2,RELA,RGS1,RHOC,RSAD2,RUNX1,S100A4,S100A8,SERPINE2,SLC7A11,SOD1,SPRY2,SRC,SRSF1,STAT2,STMN1,TAP2,TAPBP,TFRC,TGFBI,TGM2,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91,ZYX	141 (43)	41
P2RY2	 	G-protein coupled receptor	Akt,Ap1,ATF2,CEBPA,CHEK1,DYRK1B,ELK1,ERK1/2,EZH2,FOSL1,FOXO1,FOXO3,GSK3B,IRF3,JUN,MED1,MMP12,MMP2,MYC,NFAT5,NR4A1,NRF1,P2RY2,PDGFRA,PHB2,Rac,RAC1,RB1,RHOA,RHOC,ROCK,SRC (family),SREBF2,STAT1,YBX1	3	Inhibited	-2.952	4.47E-14	7.40E-03	A2M,ABCC1,ACSL1,ACTB,ALB,ALCAM,APOBEC3G,ARRB1,ASNS,ATP2A2,B2M,BABAM2,BAG1,BCOR,BZW2,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK1,CDK6,CEBPA,CEBPB,CLEC11A,CLTC,COX5A,CP,CTSS,DAB2,DDX58,DDX60,EDF1,EFEMP1,EHD1,EIF4E,ERMP1,EZR,FDPS,FN1,GBP2,GBP4,GDF15,GLUL,GOT1,GTF2B,H1-10,H2AX,HK2,HLA-A,HLA-B,HLA-E,HSPB1,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IL1RN,IPO7,IRF5,IRF8,ISG15,ITGB5,JUN,JUND,KRT10,LTF,MAD1L1,MMP9,MX1,MX2,NCOA7,NDUFB8,NOP16,NRP1,NUDT1,OAS1,OAS2,OASL,PDCD4,PEA15,PFKP,PLG,POLDIP3,POLR2D,PPP3CB,PSMB7,PSMD3,PSME3,RAB4B,RABGAP1L,RBL2,RCC1,RHOC,RPL11,RPS7,RSAD2,RUNX1,S100A4,S100A9,SCPEP1,SERPINE2,SERPINF1,SLC7A11,SOD1,SPRY2,SUMO1,SUMO2,SUMO3,TANK,TAP1,TAP2,TAPBP,TGFB1,THBD,TRIM21,TXN,UBE2I,VTN,WTAP	125 (35)	34
ATG5	 	other	ATG5,IRF3,SRC,STAT3,TGM2	2	 	1.937	4.68E-14	2.00E-04	ATP6AP2,C1QBP,C3,CD36,CD44,CDK6,CFP,CHI3L1,COL1A1,CTSC,DAD1,DDX58,DDX60,DDX60L,DNMT1,DYNLL1,EHD1,FCER1G,FN1,GBP1,GTPBP10,HK2,HK3,HLA-B,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT3,IRF5,ISG15,ITGAX,KAT2B,LGALS1,LGALS9,LSP1,MDN1,MMP2,NAMPT,NDRG1,NFATC2,NFKB2,NPC2,NPM1,OAS2,OAS3,OASL,OTUD6B,PARP14,PARP9,PDCD5,PLAU,POR,PSEN1,PSIP1,PSME3,PTPN2,PTRH2,RELA,RNF213,RSAD2,S100A8,SIRPA,SLC25A15,SLC25A20,SLC2A1,SLFN5,SLPI,TAP1,TGFB1,TGM2,THBS1,TPX2,TTC27,UBA7,VIM	77 (5)	5
LDL	 	complex	Ap1,CDH1,CTNNB1,ERK1/2,ERN1,GSK3B,IRAK1,Jnk,LDL,MAPK1,MAPK8,NFkB (complex),PI3K (complex),PRKCD,RHOA,SHC1,SRC	2	Inhibited	-3.646	5.49E-14	2.20E-03	ACTB,APOA4,APOE,ARRB1,AURKA,B2M,BAX,C3,CD36,CD44,CD47,CD82,CEBPA,CLEC11A,COL1A1,COL1A2,DDX58,EHD1,EIF2AK2,ERAP1,ERLEC1,ERP29,EZR,FABP5,FLI1,FOSL1,GBP1,GOT1,GSTP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HMOX1,HYOU1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IL1RN,IRAK4,ISG15,JUN,JUND,KYNU,LAP3,LASP1,MKI67,MMP2,MTA1,MVP,MX2,MYO9B,NAMPT,NFKB1,NT5E,NUP188,OAS2,OAS3,OASL,PARP12,PDCD4,PDLIM7,PLAU,PLG,PLIN2,PML,PPP3CA,PSME2,PXN,RAB4B,RAD23A,RELA,RHOC,S100A4,SAR1A,SLC2A1,SLC9A3R1,SPRY2,SRSF1,STAT1,STAT2,SYVN1,TAP1,TAP2,TAPBP,TDO2,TGFB1,TRIM21,TRIM25,TXN,UBE2I,UBE2J1,UBE2L6,UTP18	103 (17)	17
SDC3	 	other	Akt,CDH1,CHUK,EGFR,EIF2A,ERK,ERK1/2,EZR,FOS,IGF1R,IKBKB,KIT,LCK,Mapk,MAPK1,MAPK8,MAPK9,MET,NFkB (complex),P38 MAPK,PRKAA,PTEN,PTK2,PXN,RAC1,RAPGEF1,RB1,RHOA,RHOC,RUNX3,SDC3,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	-1.321	5.51E-14	2.34E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARF4,ARRB1,ATP6AP2,AURKA,B2M,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,CTSD,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HSPB1,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PREX1,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,RAB4B,RBL2,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRC,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	129 (36)	34
CEACAM6	 	other	Akt,CDH1,CEACAM6,CHUK,EGFR,EIF2A,ERK,ERK1/2,EZR,FOS,IGF1R,IKBKB,KIT,LCK,Mapk,MAPK1,MAPK8,MAPK9,MET,NFkB (complex),P38 MAPK,PRKAA,PTEN,PTK2,PXN,RAC1,RAPGEF1,RB1,RHOA,RHOC,RUNX3,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	-1.321	5.51E-14	2.34E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARF4,ARRB1,ATP6AP2,AURKA,B2M,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,CTSD,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HSPB1,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PREX1,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,RAB4B,RBL2,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRC,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	129 (36)	34
ECSIT	0.452	transcription regulator	AMPK,Ap1,ATF2,CDK1,CHUK,ECSIT,EGFR,IKBKB,IRF3,Jnk,MAP3K7,MAPK9,NFAT (complex),NFkB (complex),NFKB1,P38 MAPK,RELA,RHOA,SREBF1	3	Activated	2.289	5.87E-14	6.60E-03	ABCB1,AIF1,APOBEC3F,ARF4,ARHGDIB,ASNS,ATP6AP2,C3,CAP2,CCL4,CD14,CD36,CD44,CD55,CD82,CEBPB,CHI3L1,COX4I1,CYCS,CYP51A1,DDX58,DNMT1,DOCK8,EIF4E,ERAP1,FABP5,FDPS,FN1,GBP1,GBP2,GLB1,GOLGA2,GPNMB,H2AX,HERC5,HK2,HLA-F,HMGN2,HMOX1,IFI16,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IL1RN,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KHSRP,KYNU,LMNA,LPL,LSM3,METAP2,MIF,MMP2,MMP9,MTA1,NAMPT,NCF1,NDUFB8,NFATC2,NFKB1,NFKB2,OAS1,OAS2,OASL,PARP14,PDIA3,PLAU,PLG,PLIN2,POSTN,PPIA,PSMB3,PSMB7,PXN,RELA,RGS1,RHOC,RNASET2,RSAD2,S100A4,SAR1A,SLC7A11,SRSF1,STAT1,TAP1,TDO2,TGFB1,TGM2,TK1,TMSB10/TMSB4X,TRADD,TRAF1,ZFP91	101 (19)	19
miR-204-5p (and other miRNAs w/seed UCCCUUU)	 	mature microRNA	Akt,CDH1,CHUK,EGFR,EIF2A,ERK,ERK1/2,EZR,FOS,IKBKB,KIT,Mapk,MAPK1,MAPK9,miR-204-5p (and other miRNAs w/seed UCCCUUU),NFkB (complex),P38 MAPK,PRKAA,RAC1,RAPGEF1,RB1,RHOA,RHOC,RUNX3,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	1.699	6.26E-14	1.74E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARRB1,ATP6AP2,AURKA,B2M,C3,CBFB,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RBL2,RELA,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	125 (29)	29
RXRG	-1.030	ligand-dependent nuclear receptor	ATM,CDK1,CHEK1,CHEK2,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,H2AX,IKBKB,IKBKG,LAMTOR5,MAPK1,MAPK12,MDM4,NFkB (complex),RB1,RXRG,SIAH2,SMC3,TP53,VCP,ZEB1	3	Activated	3.161	6.48E-14	2.08E-02	ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SLC2A1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH	137 (25)	23
ADAM12	 	peptidase	ADAM12,Akt,CDH1,CHUK,EGFR,EIF2A,ERK,ERK1/2,EZR,FOS,IGF1R,IKBKB,KIT,LCK,Mapk,MAPK1,MAPK8,MAPK9,MET,NFkB (complex),P38 MAPK,PRKAA,PTEN,PTK2,PXN,RAC1,RAPGEF1,RB1,RHOA,RHOC,RUNX3,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	-1.321	6.49E-14	2.53E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARF4,ARRB1,ATP6AP2,AURKA,B2M,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,CTSD,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HSPB1,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PREX1,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,RAB4B,RBL2,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRC,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	129 (36)	34
CD28	 	transmembrane receptor	AKT1,Ap1,CD247,CD28,CDK1,ERK,ERK1/2,JINK1/2,Jnk,LCK,MAPK1,MAPK14,MAPK8,NFAT (complex),NFATC2,NFkB (complex),P38 MAPK,PI3K (complex),PRKCQ,RAC1,RAF1,RHOA,RPS6KB1,SP1,TCR	2	 	-1.757	6.95E-14	1.43E-02	ABCB1,AIF1,APOA4,APOBEC3G,ARRB1,ATP5PB,ATP5PD,AURKA,B2M,BSG,C3,CBS/CBSL,CCL4,CD36,CD44,CD55,CD82,CDK6,CEBPA,CLEC11A,COL1A1,DAB2,DDX58,DHCR24,EFEMP1,EHD1,EIF2AK2,ERP29,EZR,FABP5,FCER1G,FOSL1,GDF15,GOLGA2,GPNMB,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IL4I1,ISG15,JUN,JUND,KYNU,LAMP1,LAP3,LASP1,MAP4K4,MDH1,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGAM1,PLAU,PLG,PML,POSTN,PSME2,PXN,RAB4B,RELA,RHOC,RPL31,RPS15,RPS3,RPSA,S100A4,SAR1A,SLC1A5,SLC25A3,SLC2A1,SPRY2,STAT2,TALDO1,TAP2,TAPBP,TDO2,TFRC,TGFB1,TGM2,THBS1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VDAC3,VIM	117 (25)	25
PKC alpha/beta	 	group	CDH1,CHUK,DDX58,EGFR,EIF2A,ERK,ERK1/2,FOS,IRF3,KIT,Mapk,MAPK1,MAPK9,NFkB (complex),P38 MAPK,PKC alpha/beta,PRKAA,RAC1,RAPGEF1,RB1,RELA,RHOA,RHOC,RUNX3,SRC,STAT1,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	-0.354	7.00E-14	1.34E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CCL4,CD14,CD36,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,CTSS,DDX58,DDX60,DNMT1,DOCK8,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GBP2,GBP4,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-F,HMGN2,HYOU1,IDI1,IFI44L,IFIT1,IGFBP3,IRF2BP2,IRF5,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PLAU,PLIN2,PML,POSTN,PPIA,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RBL2,RELA,RFTN1,RGS1,RHOC,RSAD2,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TMSB10/TMSB4X,TRADD,TRAF1,TRIM25,UBE2I,UBE2L6,UTP18,ZFP91	128 (30)	29
ATM	0.539	kinase	ATM,CHEK1,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,LAMTOR5,MAPK1,MAPK12,MDM4,NFkB (complex),RB1,SMC3,TP53,VCP,ZEB1	2	Activated	3.012	7.65E-14	1.60E-02	ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH	135 (20)	20
TAP1	1.567	transporter	AMPK,Ap1,ATF2,CDK1,CHUK,EGFR,IKBKB,IKK (complex),IRF3,IRS1,Jnk,MAP3K7,MAPK9,NFAT (complex),NFkB (complex),NFKB1,NFKBIA,P38 MAPK,RELA,RHOA,SREBF1,TAP1	3	 	-1.818	8.67E-14	4.60E-03	ABCB1,AIF1,APOBEC3F,ARF4,ARHGDIB,ASNS,ATP6AP2,C3,CAP2,CCL4,CD14,CD36,CD44,CD55,CD82,CEBPB,CHI3L1,COX4I1,CYCS,CYP51A1,DDX58,DNMT1,DOCK8,EIF2AK2,EIF4E,ERAP1,FABP5,FDPS,GBP1,GBP2,GLB1,GOLGA2,GPNMB,H2AX,HERC5,HK2,HLA-F,HMGN2,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KHSRP,KYNU,LMNA,LPL,LSM3,METAP2,MIF,MMP2,MMP9,MTA1,MX1,NAMPT,NCF1,NDUFB8,NFATC2,NFKB1,NFKB2,OAS1,OAS2,OASL,PARP14,PDIA3,PLAU,PLG,PLIN2,POSTN,PPIA,PSMB3,PSMB7,PXN,RELA,RGS1,RHOC,RNASET2,RSAD2,S100A4,SAR1A,SLC7A11,SRSF1,STAT1,TDO2,TGFB1,TGM2,TK1,TMSB10/TMSB4X,TRADD,TRAF1,ZFP91	98 (22)	21
IFNL1	 	cytokine	IFNL1	1	Activated	5.196	8.97E-14	1.00E-04	CMPK2,DDX58,DDX60,DDX60L,EIF2AK2,GBP1,HERC5,HLA-B,HLA-C,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PML,RSAD2,SAMD9,STAT1,STAT2,UBE2L6	27 (1)	1
FBXW7	 	enzyme	FBXW7,HSF1,MYC,NCOA3,NOTCH1,STAT2	2	Activated	3.862	8.99E-14	1.00E-04	ABCC1,ALCAM,BAG1,BAG3,BAX,BCOR,BZW2,CBX3,CD44,CEBPA,CEBPB,COL1A1,COX5A,DNAJA1,DNMT1,EFEMP1,EIF4E,FBLN1,FOXRED1,GTF2B,HK2,HMGB1,HSPB1,HSPE1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,ITGB5,MBOAT7,MCAT,MMP9,MRPL18,MX1,MX2,NASP,NCOR1,NPM1,OAS1,OASL,PCCB,PDCD4,PIN1,PLAU,PLIN2,POLDIP3,POLR2D,RAB5C,RANBP1,RCC1,RPL11,RRAD,RSAD2,SERPINE2,SERPINH1,SLC2A1,SMC1A,SRSF1,SSBP1,ST13,STAT1,STAT2,STAT6,STIP1,SUMO1,SUMO2,SUMO3,TGFB1,TKT,UBE2I	73 (6)	6
mir-204	 	microRNA	Akt,CDH1,CHUK,EGFR,EIF2A,ERK,ERK1/2,EZR,FOS,IKBKB,KIT,Mapk,MAPK1,MAPK9,mir-204,NFkB (complex),P38 MAPK,PRKAA,RAC1,RAPGEF1,RB1,RHOA,RHOC,RUNX3,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	1.699	9.51E-14	2.07E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARRB1,ATP6AP2,AURKA,B2M,C3,CBFB,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RBL2,RELA,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	125 (29)	29
